동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
사직동,0,1.23,3562,10033,8157,4291098,8957435254,21959.6761,31201.6516,20,373,3489
부암동,0,2.27,3841,11217,4941,3405937,8528251720,13198.4521,13310.4906,2,597,575
평창동,0,8.87,6310,19414,2189,4871132,9901824053,22323.2792,19089.9123,4,1622,708
창신2동,0,0.26,3774,11040,42462,2785995,14306879240,9845.2702,9257.9734,1,244,872
청운효자동,0,2.57,4920,14354,5585,3776452,5426563763,15213.883,14491.1321,4,683,1009
회현동,0,0.84,2343,6263,7456,3540326,7496747788,19989.7439,24081.8358,21,217,9697
명동,0,0.99,1191,3521,3557,3674432,2543067783,19882.0894,52200.3597,70,277,6778
황학동,0,0.33,5301,13287,40264,3341522,15522692747,13777.0971,13773.9113,6,259,1963
후암동,0,0.86,7184,19684,22888,2968892,10478036641,14755.8759,13049.4844,1,732,840
원효로2동,0,0.71,5418,15709,22125,3939851,9237164401,13371.7843,11853.0059,3,300,1190
이촌2동,0,1.22,3370,9663,7920,4497663,5544598547,8119.3234,6512.2201,0,63,340
보광동,0,0.71,6952,17289,24351,3117066,13560307631,11973.1753,10381.6498,2,366,836
청파동,0,0.91,9567,22366,24578,3025011,17008680801,25185.0678,23561.317,3,904,1915
성수2가1동,0,1.18,7682,20080,17017,3017195,20202466612,19362.1646,19834.954,3,643,2626
성수2가3동,0,1.03,4719,12251,11894,3847019,5791237649,21973.9686,25572.3517,14,706,5056
송정동,0,0.68,4982,12063,17740,2616252,9140745305,11459.8807,7778.4484,0,496,695
회기동,0,0.76,6566,12524,16479,2964046,7528497838,26960.0797,21649.9908,6,531,988
전농2동,0,0.86,7261,21234,24691,3445837,10029296650,15752.2312,14470.0133,4,193,875
답십리2동,0,0.85,10325,29504,36880,2776731,16796212895,24517.0841,21241.6126,2,505,2055
장안1동,0,1.25,13675,38017,30414,3216807,21861847030,37518.8226,34126.833,10,1227,4539
장안2동,0,1.09,11269,32289,29623,2835191,12358798538,26907.8238,32132.3635,2,1019,3204
이문1동,0,1.04,15227,32433,31186,2677082,13418872933,30594.9528,25554.3626,1,892,1486
면목2동,0,0.73,10703,27560,37753,2492189,15289523697,22770.327,20785.9663,1,938,2053
면목5동,0,0.64,4602,11607,18136,2524815,13360267832,12597.4108,12472.293,1,520,873
면목7동,0,0.87,9302,24004,27591,2649215,12938609350,20123.9865,18988.1114,2,609,1512
망우3동,0,0.99,7150,18415,18601,2494775,17951464354,14126.1173,10271.9144,1,968,1107
면목본동,0,1.01,14836,36575,36213,2473762,16012921043,32727.7558,31606.9488,3,1244,2498
면목3.8동,0,1.67,11422,28620,17138,2583930,15898849236,20259.0963,21696.1801,1,864,2090
돈암1동,0,0.49,6017,17222,35147,3575220,9347544486,18641.4847,14662.7346,0,97,394
돈암2동,0,0.48,7372,23722,49421,3998588,21633282510,14148.395,9015.4101,4,76,398
정릉1동,0,0.44,6769,19372,44027,3970114,13819517650,17182.1946,16128.3534,0,311,732
정릉2동,0,1.17,8676,24644,21063,3378621,21733583053,23648.1953,20635.9381,4,632,900
정릉3동,0,3.71,7112,17801,4798,2793845,1704856895,20481.5494,16491.5861,1,680,667
정릉4동,0,3.13,9775,27893,8912,3380661,11751167917,20890.7867,18528.8052,4,595,929
장위1동,0,0.7,8398,23502,33574,2811548,11363751683,20172.306,16683.3301,1,1093,1028
장위3동,0,0.65,5194,14165,21792,2581295,9395124652,8346.0235,7691.1579,0,357,804
종암동,0,1.46,15619,43496,29792,3205875,6585243440,42578.2291,34827.9834,2,1108,2048
