구,동,면적,가구수,상권지출총금액,상권월소득금액,유동인구(8시),유동인구(19시),인구,인구밀도,세대,지방세징수,점포수,점포면적,주차장수,주차장면적,공장 수,공장면적,가스사용량,은행 수
광진구,화양동,1.16,15466,8415198012,2655292,43610.7723,58641.3808,24419,21051,14222,24166,91,"13,737","1,212","9,323","1,212","9,323","19,806",7
광진구,군자동,0.74,10846,8318301401,2837310,20840.3407,20666.8933,22091,29853,10293,14266,#N/A,#N/A,"1,030","6,847","1,030","6,847","12,043",6
광진구,중곡1동,0.62,6749,11547536773,2790828,16336.5447,17163.2588,16526,26655,7618,10864,172,"19,580","1,078","4,501","1,078","4,501","7,940",2
광진구,중곡2동,0.55,8830,17039006925,2814542,18953.4722,15182.6055,22610,41109,9691,9916,#N/A,#N/A,"1,409","6,227","1,409","6,227","10,075",4
광진구,중곡3동,0.6,7229,10411148892,2699789,17295.3207,17302.654,18120,30200,8232,6391,#N/A,#N/A,"1,050","5,495","1,050","5,495","8,503",1
광진구,중곡4동,2.32,11624,#N/A,#N/A,28704.6695,25381.6719,32041,13811,12842,11387,25,"1,138","1,872","8,223","1,872","8,223","12,967",2
광진구,능동,1.1,5607,#N/A,#N/A,16674.7627,18068.845,11712,10647,5784,8036,#N/A,#N/A,958,"5,337",958,"5,337","6,441",0
광진구,구의1동,0.56,10309,12716824610,2918606,25014.9529,24481.4437,23510,41982,11103,12821,#N/A,#N/A,"1,416","7,252","1,416","7,252","12,501",4
광진구,구의2동,1.39,9358,8802103744,3643208,25040.3801,22771.9089,25879,18618,10570,13056,#N/A,#N/A,"1,347","7,439","1,347","7,439","10,384",2
광진구,구의3동,1.02,10431,14378446086,4761723,36249.7392,40075.631,30067,29477,11530,31855,#N/A,#N/A,723,"14,548",723,"14,548","11,821",6
광진구,광장동,2.39,11113,9041104973,5095610,40707.0683,39849.4266,36917,15446,11936,66671,#N/A,#N/A,336,"16,460",336,"16,460","11,543",9
광진구,자양1동,0.57,9762,23139854888,2893437,30306.821,27747.7711,24151,42370,10973,12460,135,"16,400","1,279","6,592","1,279","6,592","11,612",4
광진구,자양2동,1.68,9896,15002199711,2895805,26168.3465,25293.3185,27877,16593,11379,15034,21,"4,724","1,211","10,134","1,211","10,134","11,108",1
광진구,자양3동,1.2,10067,10999101539,3646235,24236.7629,27534.1828,31227,26023,11215,29423,#N/A,#N/A,432,"13,682",432,"13,682","10,713",6
광진구,자양4동,1.16,10431,10667059585,3638538,29049.6485,38053.5502,28033,24166,11668,11655,208,"27,608",951,"5,394",951,"5,394","14,452",2
서초구,서초1동,1.42,8025,10640028963,5350092,30074.5367,31146.5433,21385,15060,8929,84958,#N/A,#N/A,998,"15,642",998,"15,642","10,149",10
서초구,서초2동,1.24,7466,9810426878,5182070,34361.3811,40284.6324,21467,17312,8507,134639,#N/A,#N/A,495,"20,434",495,"20,434","9,695",28
서초구,서초3동,2.93,10743,9650076523,5725397,54055.1943,60545.4648,30491,10406,12194,114107,#N/A,#N/A,"1,594","31,110","1,594","31,110","13,217",30
서초구,서초4동,0.88,8834,14194484875,6758169,37571.5076,50073.8919,29056,33018,9872,96498,#N/A,#N/A,252,"18,256",252,"18,256","10,988",16
서초구,잠원동,1.76,12096,14235666179,5992333,41252.4216,37138.5397,34015,19327,13765,63376,#N/A,#N/A,613,"15,699",613,"15,699","17,209",10
서초구,반포본동,1.01,3717,6005611046,6734259,11450.141,8650.5062,13317,13185,4369,37661,#N/A,#N/A,15,"5,603",15,"5,603","3,919",5
서초구,반포1동,1,12166,24663969188,3791186,34971.2164,37587.3594,30849,30849,14364,64907,#N/A,#N/A,792,"13,882",792,"13,882","15,284",10
서초구,반포2동,1.35,5592,14309842980,6596014,20526.0694,21919.8126,19881,14727,6390,52405,#N/A,#N/A,30,"8,159",30,"8,159","7,655",5
서초구,반포3동,1.28,6356,#N/A,#N/A,21202.624,26291.8094,20920,16344,7853,42042,#N/A,#N/A,52,"7,414",52,"7,414","4,871",4
서초구,반포4동,1.43,6476,11949909953,6576972,40545.2199,58917.5509,20745,14507,7376,58473,655,"33,122",690,"17,515",690,"17,515","8,112",16
서초구,방배본동,0.67,7141,19737190160,5146298,24004.0781,24144.0315,22153,33064,8132,42676,84,"5,975",697,"10,182",697,"10,182","8,172",5
서초구,방배1동,0.7,6480,15228880743,4023312,19776.899,22094.6106,17538,25054,7194,37447,#N/A,#N/A,853,"8,206",853,"8,206","8,059",4
서초구,방배2동,1.93,10111,16332321012,3699921,25882.236,33059.5548,28361,14695,11360,37309,#N/A,#N/A,"1,222","9,092","1,222","9,092","11,511",2
서초구,방배3동,2.4,7866,11548321387,5710881,24825.4659,16037.4231,24400,10167,9348,42103,#N/A,#N/A,480,"9,718",480,"9,718","8,876",4
서초구,방배4동,0.98,9295,20756736984,5119227,24068.9185,22098.1642,26446,26986,10182,45503,#N/A,#N/A,"1,238","12,378","1,238","12,378","11,502",12
서초구,양재1동,5.76,16182,5588513562,4167147,47079.292,43557.7891,47859,8309,17507,60791,34,"2,525","1,332","25,934","1,332","25,934","20,431",12
서초구,양재2동,7.58,9402,9406592258,3265964,36340.7529,38476.1793,23633,3118,10752,78158,#N/A,#N/A,"1,659","29,091","1,659","29,091","12,307",16
서초구,내곡동,12.68,6083,2390909133,3741384,25771.8431,22853.7054,18742,1478,5165,23757,#N/A,#N/A,348,"8,047",348,"8,047","8,113",1
강남구,신사동,0.64,11160,21080234634,2730270,24519.4169,19608.6466,26976,42150,12102,10446,88,"4,856","1,184","15,842","1,184","15,842","8,898",14
강남구,논현1동,1.25,12205,13133900768,3220107,38282.4174,44047.5037,25307,20246,14445,114670,130,"39,954","2,101","22,522","2,101","22,522","16,620",15
강남구,논현2동,1.47,9983,8997846239,3926834,36427.1562,41423.0849,23082,15702,11033,130626,80,"2,439","2,153","25,190","2,153","25,190","12,839",21
강남구,삼성1동,1.94,5137,6408887436,3961868,31158.836,50152.5728,15531,8006,5867,214810,#N/A,#N/A,786,"25,779",786,"25,779","6,747",30
강남구,삼성2동,1.24,11587,18083153088,5218587,35931.7264,30237.8972,31343,25277,13810,101044,#N/A,#N/A,"1,181","21,922","1,181","21,922","15,518",15
강남구,대치1동,0.79,5857,#N/A,#N/A,25203.0461,27831.644,23283,29472,5729,78750,#N/A,#N/A,125,"13,847",125,"13,847","8,430",13
강남구,대치4동,0.73,9166,16722049727,4325768,29154.8949,39679.189,21630,29630,10344,93641,#N/A,#N/A,"1,313","16,098","1,313","16,098","11,673",15
강남구,역삼1동,2.35,18741,10675750059,3496440,79455.1947,107976.8404,36450,15511,21536,382260,224,"12,099","3,569","51,439","3,569","51,439","25,946",56
강남구,역삼2동,1.15,12666,#N/A,#N/A,45080.0483,39936.7878,36314,31577,14788,114466,224,"12,099","1,040","23,562","1,040","23,562","17,418",13
강남구,도곡1동,1.02,7581,#N/A,#N/A,25904.5253,23955.2564,22693,22248,8502,55938,#N/A,#N/A,447,"13,014",447,"13,014","9,888",10
강남구,도곡2동,1.02,10835,18560962128,7346227,27895.0799,24355.2389,35307,34615,12317,127119,#N/A,#N/A,335,"23,629",335,"23,629","13,942",22
강남구,개포1동,1.27,7716,#N/A,#N/A,8202.5721,4495.4752,21700,17087,8559,33110,#N/A,#N/A,28,"4,659",28,"4,659","9,588",1
강남구,개포4동,1.49,8254,#N/A,#N/A,18321.1197,15328.3946,22135,14856,9586,27914,#N/A,#N/A,"1,023","10,287","1,023","10,287","8,885",4
