구,동,상권지출총금액,상권월소득금액,면적,가구수,유동인구(8시),유동인구(19시),인구,인구밀도,세대,지방세징수,주차장수,주차장면적,공장 수,공장면적,가스사용량,은행 수
강남구,개포1동,10397154720,3528027.763,1.27,7716,8202.5721,4495.4752,21700,17087,8559,33110,28,4659,28,4659,9588,1
강남구,개포2동,4725703994,3057068,2.51,10081,15125.1707,17940.8483,27354,10898,12463,31610,147,7392,147,7392,9689,3
강남구,개포4동,10397154720,3528027.763,1.49,8254,18321.1197,15328.3946,22135,14856,9586,27914,1023,10287,1023,10287,8885,4
노원구,공릉1동,10544069684,2894210,1.41,16351,45447.0965,46996.6847,39942,28328,17249,20633,1292,14258,1292,14258,20101,7
노원구,공릉2동,655921431,5485430,6.82,15755,49957.5497,47454.1661,45297,6642,17035,21357,687,20479,687,20479,17700,3
광진구,광장동,9041104973,5095610,2.39,11113,40707.0683,39849.4266,36917,15446,11936,66671,336,16460,336,16460,11543,9
광진구,구의1동,12716824610,2918606,0.56,10309,25014.9529,24481.4437,23510,41982,11103,12821,1416,7252,1416,7252,12501,4
광진구,구의2동,8802103744,3643208,1.39,9358,25040.3801,22771.9089,25879,18618,10570,13056,1347,7439,1347,7439,10384,2
광진구,구의3동,14378446086,4761723,1.02,10431,36249.7392,40075.631,30067,29477,11530,31855,723,14548,723,14548,11821,6
광진구,군자동,8318301401,2837310,0.74,10846,20840.3407,20666.8933,22091,29853,10293,14266,1030,6847,1030,6847,12043,6
서초구,내곡동,2390909133,3741384,12.68,6083,25771.8431,22853.7054,18742,1478,5165,23757,348,8047,348,8047,8113,1
강남구,논현1동,13133900768,3220107,1.25,12205,38282.4174,44047.5037,25307,20246,14445,114670,2101,22522,2101,22522,16620,15
강남구,논현2동,8997846239,3926834,1.47,9983,36427.1562,41423.0849,23082,15702,11033,130626,2153,25190,2153,25190,12839,21
광진구,능동,10397154720,3528027.763,1.1,5607,16674.7627,18068.845,11712,10647,5784,8036,958,5337,958,5337,6441,0
강남구,대치1동,15449110316,3269120.179,0.79,5857,25203.0461,27831.644,23283,29472,5729,78750,125,13847,125,13847,8430,13
강남구,대치2동,14325096429,5402903,2,12604,47196.5068,47403.4977,42565,21283,13802,145659,703,27197,703,27197,15900,22
강남구,대치4동,16722049727,4325768,0.73,9166,29154.8949,39679.189,21630,29630,10344,93641,1313,16098,1313,16098,11673,15
강남구,도곡1동,10397154720,3528027.763,1.02,7581,25904.5253,23955.2564,22693,22248,8502,55938,447,13014,447,13014,9888,10
강남구,도곡2동,18560962128,7346227,1.02,10835,27895.0799,24355.2389,35307,34615,12317,127119,335,23629,335,23629,13942,22
서초구,반포1동,24663969188,3791186,1,12166,34971.2164,37587.3594,30849,30849,14364,64907,792,13882,792,13882,15284,10
서초구,반포2동,14309842980,6596014,1.35,5592,20526.0694,21919.8126,19881,14727,6390,52405,30,8159,30,8159,7655,5
서초구,반포3동,10397154720,3528027.763,1.28,6356,21202.624,26291.8094,20920,16344,7853,42042,52,7414,52,7414,4871,4
서초구,반포4동,11949909953,6576972,1.43,6476,40545.2199,58917.5509,20745,14507,7376,58473,690,17515,690,17515,8112,16
서초구,반포본동,6005611046,6734259,1.01,3717,11450.141,8650.5062,13317,13185,4369,37661,15,5603,15,5603,3919,5
서초구,방배1동,15228880743,4023312,0.7,6480,19776.899,22094.6106,17538,25054,7194,37447,853,8206,853,8206,8059,4
서초구,방배2동,16332321012,3699921,1.93,10111,25882.236,33059.5548,28361,14695,11360,37309,1222,9092,1222,9092,11511,2
서초구,방배3동,11548321387,5710881,2.4,7866,24825.4659,16037.4231,24400,10167,9348,42103,480,9718,480,9718,8876,4
서초구,방배4동,20756736984,5119227,0.98,9295,24068.9185,22098.1642,26446,26986,10182,45503,1238,12378,1238,12378,11502,12
서초구,방배본동,19737190160,5146298,0.67,7141,24004.0781,24144.0315,22153,33064,8132,42676,697,10182,697,10182,8172,5
강남구,삼성1동,6408887436,3961868,1.94,5137,31158.836,50152.5728,15531,8006,5867,214810,786,25779,786,25779,6747,30
강남구,삼성2동,18083153088,5218587,1.24,11587,35931.7264,30237.8972,31343,25277,13810,101044,1181,21922,1181,21922,15518,15
노원구,상계10동,10397154720,3528027.763,0.8,7015,18242.7773,19718.3081,19709,24636,7620,7532,24,4933,24,4933,6598,0
노원구,상계1동,9243567703,3023939,5.62,14507,39082.8371,40893.5752,42935,7640,15716,22639,689,14560,689,14560,16252,2
노원구,상계2동,21972713382,3025239,0.61,7948,26041.4539,42530.9638,22250,36475,8713,17593,573,9369,573,9369,9484,2
노원구,상계3.4동,9784223919,3148096,5.62,13242,22129.6319,20560.9311,31990,5692,13796,11252,473,5900,473,5900,12577,1
노원구,상계5동,10834405705,3215180,0.44,9278,23134.3627,24180.2928,28084,63827,11250,7135,836,5600,836,5600,9761,1
노원구,상계6.7동,5163532028,2687528,1.11,12767,41461.2908,45014.7631,35872,32317,14059,23534,148,10931,148,10931,14433,13
노원구,상계8동,13552837526,3474556,0.67,8889,18008.0783,12342.5121,26026,38845,9419,5883,25,3795,25,3795,9240,3
노원구,상계9동,6470121796,3621325,0.81,8070,18535.9692,14591.6076,23848,29442,8736,6772,31,5401,31,5401,8461,4
서초구,서초1동,10640028963,5350092,1.42,8025,30074.5367,31146.5433,21385,15060,8929,84958,998,15642,998,15642,10149,10
서초구,서초2동,9810426878,5182070,1.24,7466,34361.3811,40284.6324,21467,17312,8507,134639,495,20434,495,20434,9695,28
