구,주택 총계,7~8 유동인구,8~9 유동인구,9~10 유동인구,10~11 유동인구,11~12 유동인구,12~13 유동인구,13~14 유동인구,14~15 유동인구,15~16 유동인구,16~17 유동인구,17~18 유동인구,18~19 유동인구,19~20 유동인구,20~21 유동인구,시설 합계,도로,사업체수,자동차 총합,전력사용량 합계,행정구역 면적(2007),시가화면적비율(2010),공동주택,지역내 총생산
강남구,7246,164,395,388,301,376,628,615,482,497,539,570,815,737,541,3773,3390,73590,244787,4615922,39.54,23.7,109396,14254963
강동구,9690,259,359,353,369,417,501,497,511,537,571,576,690,634,501,2539,2186,30079,137662,1496299,24.58,13.69,55673,640027
강북구,1562,192,339,289,263,306,338,359,387,400,406,436,502,469,362,2154,1922,18654,75760,914684,23.61,9.39,25785,63937
강서구,4679,270,332,247,227,233,283,262,257,274,295,319,384,369,285,3477,2864,33273,191072,2205573,41.42,18.03,85224,1669636
관악구,4126,448,684,576,471,464,511,530,532,567,610,653,796,797,618,3028,2728,26235,120789,1687190,29.57,11.91,42962,174264
광진구,2693,178,291,233,211,234,320,349,324,378,436,477,598,638,502,3523,3302,24531,96092,1638532,17.05,11.57,29175,506463
구로구,7712,425,546,408,314,330,400,412,384,383,416,477,620,576,413,3138,2815,37445,138272,1874103,20.11,14.19,70780,1212742
금천구,3288,193,628,374,247,284,434,394,268,244,257,425,720,425,291,300,130,30080,82684,1617044,13.01,10.55,27016,446527
노원구,636,190,237,216,222,243,284,287,305,322,364,389,385,355,266,2412,1952,25827,154645,1504212,35.42,13.23,138654,744416
도봉구,1731,180,274,219,191,193,230,234,233,236,258,279,290,284,225,2173,1939,18455,95851,890602,20.7,12.21,64143,150747
동대문구,4974,130,225,188,198,230,269,288,284,289,322,293,290,238,175,2800,2483,32994,96607,1424697,14.2,14.1,47630,606200
동작구,6893,338,543,436,476,552,669,744,650,659,681,761,924,751,576,698,433,19609,102067,1267620,16.35,15.65,53226,694226
마포구,4175,135,251,190,188,215,304,304,276,291,321,366,441,382,274,3321,2933,36504,116915,2059666,23.87,12.69,60337,2995280
서대문구,2081,223,397,428,419,468,600,595,589,607,709,738,837,700,567,2723,2328,19612,82327,1237081,17.61,15.7,39591,417646
서초구,21895,204,352,293,269,321,432,419,368,396,378,439,619,623,469,3021,2547,47061,178847,3386610,47,19.63,77543,4581133
성동구,2956,231,459,298,301,297,351,345,316,333,395,402,438,367,288,2610,2347,26130,95767,2034589,16.85,12.35,54739,1493550
성북구,2277,114,204,162,164,166,201,232,222,239,265,280,315,294,225,942,537,24690,116544,1440110,24.57,17.99,64527,366815
송파구,10365,179,280,235,216,215,234,231,235,264,281,308,348,325,253,3446,2866,45375,218942,2684727,33.88,23.57,108300,3859257
양천구,1459,204,328,216,215,230,259,258,287,329,347,364,386,350,253,4133,3753,26297,149721,1597963,17.4,13,72838,285766
영등포구,2320,185,389,285,251,285,371,352,313,315,342,361,443,343,253,2904,2554,44512,145778,2610039,24.57,17.79,62112,4381054
용산구,2068,191,302,262,239,259,314,314,316,326,351,382,463,397,283,1900,1636,21178,76078,1389969,21.87,12.92,31197,1476927
은평구,6704,208,268,272,288,325,351,409,436,483,495,512,542,528,410,3694,3332,24179,126482,1362245,29.71,15.22,41474,424123
종로구,548,209,401,442,496,617,934,967,886,935,902,953,1099,968,760,2223,1885,40871,49817,1753575,23.91,12.71,12730,3736025
중구,2156,297,519,515,587,837,1180,1270,1230,1266,1261,1267,1319,1144,922,1215,910,66190,52988,2503707,9.96,9.97,17329,10270505
중랑구,3303,106,194,171,173,193,238,229,216,238,274,274,289,280,207,750,392,27287,110094,1101396,18.5,10.75,45194,428937
