구,주택 총계,단독,다가구,연립,아파트,다세대,7~8 유동인구,8~9 유동인구,9~10 유동인구,10~11 유동인구,11~12 유동인구,12~13 유동인구,13~14 유동인구,14~15 유동인구,15~16 유동인구,16~17 유동인구,17~18 유동인구,18~19 유동인구,19~20 유동인구,20~21 유동인구,시설 합계,도로,주차장,광장,공원,녹지,공공공지,시장,수도,전기공급설비,공공청사,학교,문화시설,사회복지시설,하천,하수도,역 개수,사업체수,자동차 총합,관용자동차,자가용,영업용자동차,전력사용량 합계,가정용 전력,공공용 전력,행정구역 면적(2007),시가화면적비율(2010),시가화면적(2010),임야,대지,학교용지,주차장,주유소용지,도로,하천,구거,수도용지,공원,공동주택,지역내 총생산
강남구,7246,28,188,24,5829,1177,164,395,388,301,376,628,615,482,497,539,570,815,737,541,3773,3390,28,21,116,33,2,5,7,9,22,81,7,12,2,4,29,73590,244787,345,223960,20482,4615922,863427,122679,39.54,23.7,59.98,9372080,8176048,907969,22247,6737,2370386,281284,170815,85,309831,109396,14254963
강동구,9690,54,272,20,7477,1867,259,359,353,369,417,501,497,511,537,571,576,690,634,501,2539,2186,21,14,105,32,27,7,2,4,28,53,3,12,2,26,11,30079,137662,215,128966,8481,1496299,537935,62169,24.58,13.69,55.7,1291056,5292421,393799,26546,7647,2146272,29443,14795,29588,446160,55673,640027
강북구,1562,301,160,0,72,1029,192,339,289,263,306,338,359,387,400,406,436,502,469,362,2154,1922,27,2,50,8,41,5,9,1,17,30,3,15,4,7,3,18654,75760,280,70638,4842,914684,392162,51287,23.61,9.39,39.77,1605057,10065272,521877,18909,9765,2477211,4776817,97394,402,112810,25785,63937
강서구,4679,89,213,55,1894,2428,270,332,247,227,233,283,262,257,274,295,319,384,369,285,3477,2864,38,23,160,129,13,9,3,5,32,75,6,14,2,64,21,33273,191072,293,176167,14612,2205573,779635,224767,41.42,18.03,43.53,262302,6260305,946583,10163,4420,2240206,3776403,88329,262320,529312,85224,1669636
관악구,4126,733,270,47,1691,1385,448,684,576,471,464,511,530,532,567,610,653,796,797,618,3028,2728,39,4,96,21,9,6,15,2,22,50,0,18,3,1,4,26235,120789,255,114745,5789,1687190,633775,247399,29.57,11.91,40.27,2482436,6992780,1059376,17853,21237,2490293,2524435,69038,289069,720967,42962,174264
광진구,2693,15,613,0,280,1785,178,291,233,211,234,320,349,324,378,436,477,598,638,502,3523,3302,24,12,46,8,22,8,6,6,15,35,3,7,0,11,11,24531,96092,267,90449,5376,1638532,452493,100824,17.05,11.57,67.81,733459,7799020,1315708,7585,18108,2638941,574241,81422,724,294762,29175,506463
구로구,7712,114,83,64,5992,1459,425,546,408,314,330,400,412,384,383,416,477,620,576,413,3138,2815,32,15,56,36,28,8,2,7,13,58,4,13,5,19,13,37445,138272,214,127055,11003,1874103,556564,56599,20.11,14.19,70.53,2765578,6933165,648734,90289,18993,2729513,908518,175081,3958,988890,70780,1212742
금천구,3288,72,236,70,1090,1820,193,628,374,247,284,434,394,268,244,257,425,720,425,291,300,130,22,6,47,4,6,6,4,3,12,28,3,6,1,5,4,30080,82684,121,74691,7872,1617044,287356,25402,13.01,10.55,81.15,8131216,10245089,1623351,11352,27278,2730816,539366,153496,6103,508307,27016,446527
노원구,636,34,162,43,65,332,190,237,216,222,243,284,287,305,322,364,389,385,355,266,2412,1952,20,9,131,72,43,3,4,10,12,99,4,16,2,2,18,25827,154645,249,144649,9747,1504212,669594,163854,35.42,13.23,37.33,12785361,6607764,552284,25471,18082,1996879,332303,87580,22944,726024,138654,744416
도봉구,1731,89,173,0,447,1022,180,274,219,191,193,230,234,233,236,258,279,290,284,225,2173,1939,30,3,52,11,28,5,0,3,26,43,6,8,2,5,7,18455,95851,232,87888,7731,890602,416983,51018,20.7,12.21,58.99,9645649,6158181,697636,90997,19808,2071679,475072,178461,403,505554,64143,150747
동대문구,4974,173,202,236,2678,1685,130,225,188,198,230,269,288,284,289,322,293,290,238,175,2800,2483,32,12,84,39,36,6,1,1,25,38,6,9,1,8,11,32994,96607,264,90407,5936,1424697,479096,127492,14.2,14.1,99.29,15474210,9259543,2494090,25411,25539,2801217,1113232,108951,92668,729009,47630,606200
동작구,6893,439,208,82,4873,1291,338,543,436,476,552,669,744,650,659,681,761,924,751,576,698,433,13,10,73,19,35,5,9,2,29,43,4,11,1,1,17,19609,102067,266,99029,2772,1267620,491338,126423,16.35,15.65,95.73,13483205,9668965,638406,66726,22213,2890308,497612,280168,35946,538367,53226,694226
마포구,4175,118,206,0,2840,1011,135,251,190,188,215,304,304,276,291,321,366,441,382,274,3321,2933,20,13,103,88,16,8,5,3,33,39,6,19,2,14,22,36504,116915,273,109135,7507,2059666,547838,143558,23.87,12.69,53.14,4669678,7175221,2192294,19364,10400,2163469,435978,72308,22799,422222,60337,2995280
서대문구,2081,76,184,4,925,892,223,397,428,419,468,600,595,589,607,709,738,837,700,567,2723,2328,27,5,88,68,69,4,11,1,23,41,6,16,1,28,7,19612,82327,404,76900,5023,1237081,412572,297647,17.61,15.7,89.21,380951,8577145,706252,39473,12051,3471522,5755138,90653,10150,2723115,39591,417646
서초구,21895,38,178,116,20303,1260,204,352,293,269,321,432,419,368,396,378,439,619,623,469,3021,2547,29,16,136,78,18,10,8,10,23,64,9,12,7,5,19,47061,178847,624,167845,10378,3386610,668483,199768,47,19.63,41.75,1094628,8655357,791657,180165,40338,3105446,446846,198856,38586,1724849,77543,4581133
성동구,2956,29,114,0,2407,406,231,459,298,301,297,351,345,316,333,395,402,438,367,288,2610,2347,26,11,67,17,43,3,2,3,16,33,2,4,1,17,19,26130,95767,265,87847,7655,2034589,414136,301407,16.85,12.35,73.27,2773493,10454829,917083,106631,49512,3993816,3703376,670131,1421,1231928,54739,1493550
성북구,2277,271,221,0,322,1463,114,204,162,164,166,201,232,222,239,265,280,315,294,225,942,537,30,5,78,58,89,4,11,1,22,58,8,15,3,9,9,24690,116544,219,110867,5458,1440110,579150,216370,24.57,17.99,73.22,3056002,8260637,809988,29014,24332,2848837,968507,292987,27073,857668,64527,366815
송파구,10365,11,138,81,7292,2843,179,280,235,216,215,234,231,235,264,281,308,348,325,253,3446,2866,25,37,167,91,34,8,6,8,38,90,3,19,3,18,22,45375,218942,332,207009,11601,2684727,856056,89031,33.88,23.57,69.58,2742392,5016366,357114,16640,15924,2021538,620365,43882,53981,238677,108300,3859257
양천구,1459,55,97,24,163,1120,204,328,216,215,230,259,258,287,329,347,364,386,350,253,4133,3753,45,4,108,56,12,6,4,3,15,59,3,21,0,13,6,26297,149721,296,140201,9224,1597963,613886,63089,17.4,13,74.7,66821,9472110,536526,41347,11878,4270918,8077596,27278,92857,616952,72838,285766
영등포구,2320,169,220,28,899,1004,185,389,285,251,285,371,352,313,315,342,361,443,343,253,2904,2554,26,18,107,39,40,8,2,7,21,43,5,10,0,6,19,44512,145778,299,135343,10136,2610039,554765,158873,24.57,17.79,72.42,2411926,7852066,977826,14996,10748,2348026,639608,69504,141575,971390,62112,4381054
용산구,2068,26,68,58,1421,495,191,302,262,239,259,314,314,316,326,351,382,463,397,283,1900,1636,28,7,73,24,25,3,1,1,23,33,3,9,1,8,18,21178,76078,344,73674,2060,1389969,388850,330599,21.87,12.92,59.08,16101539,8200851,937666,17701,13969,2607617,546124,114797,37545,610234,31197,1476927
은평구,6704,183,220,0,3979,2322,208,268,272,288,325,351,409,436,483,495,512,542,528,410,3694,3332,31,6,81,43,37,5,7,5,28,61,6,23,5,2,15,24179,126482,223,119306,6953,1362245,594223,75597,29.71,15.22,51.26,17960473,12863148,908895,28468,52283,6262608,2487329,302141,72009,867846,41474,424123
종로구,548,85,96,70,28,269,209,401,442,496,617,934,967,886,935,902,953,1099,968,760,2223,1885,51,13,76,40,39,4,5,2,28,35,22,4,6,9,15,40871,49817,3682,44574,1561,1753575,250888,195454,23.91,12.71,53.18,6076431,16005702,1477403,54835,66436,6694890,4026907,53728,22898,1472681,12730,3736025
중구,2156,16,103,0,1777,260,297,519,515,587,837,1180,1270,1230,1266,1261,1267,1319,1144,922,1215,910,42,18,66,29,52,16,0,7,21,26,4,10,0,5,23,66190,52988,997,47702,4289,2503707,188818,111809,9.96,9.97,100.1,1659373,13759403,1293844,102213,34702,5819406,5345337,53705,7100,2174378,17329,10270505
중랑구,3303,68,824,49,240,2122,106,194,171,173,193,238,229,216,238,274,274,289,280,207,750,392,29,16,73,51,68,10,4,1,20,43,5,13,2,2,14,27287,110094,187,100478,9429,1101396,501147,38418,18.5,10.75,58.11,2932542,8842890,720564,60507,28855,3622923,3312854,39774,311388,1072702,45194,428937
