자치구,지하철만족도,주택 총계,단독,다가구,연립,아파트,다세대,7~8 유동인구,8~9 유동인구,9~10 유동인구,10~11 유동인구,11~12 유동인구,12~13 유동인구,13~14 유동인구,14~15 유동인구,15~16 유동인구,16~17 유동인구,17~18 유동인구,18~19 유동인구,19~20 유동인구,20~21 유동인구,시설 합계,도로,주차장,자동차정류장,자동차검사시설,철도,공항,자동차운전학원,광장,공원,녹지,유원지,공공공지,청소년수련시설,시장,유통업무설비,수도,공동구,전기공급설비,가스공급설비,열공급설비,유류저장및송유설비,방송통신시설,운동장,체육시설,공공청사,학교,연구시설,문화시설,사회복지시설,하천,방수설비,유수지,하수도,화장장,폐기물처리시설,수질오염방지시설,종합의료시설,역 개수,사업체수,자동차 총합,관용자동차,자가용,영업용자동차,전력사용량 합계,가정용 전력,공공용 전력,행정구역 면적(2007),시가화면적비율(2010),시가화면적(2010), 10~11 인구변화 , 11~12 인구변화 , 12~13 인구변화 , 13~14 인구변화 , 14~15 인구변화 , 15~16 인구변화 , 16~17 인구변화 , 17~18 인구변화 ,임야,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,하천,제방,구거,유지,수도용지,공원,공동주택,지역내 총생산,지하철역수
강남구,7.28,7246,28,188,24,5829,1177,164,395,388,301,376,628,615,482,497,539,570,815,737,541,3773,3390,28,4,0,0,0,0,21,116,33,0,2,0,5,0,7,3,9,1,1,0,1,0,4,22,81,2,7,12,2,3,11,4,0,2,0,2,29,73590,244787,345,223960,20482,4615922,863427,122679,39.54,23.7,59.98,"6,897","-7,724",506,"9,911","3,007","-7,135","-9,243","-16,476",9372080,8176048,0,907969,22247,6737,0,2370386,933,281284,10947,170815,0,85,309831,109396,14254963,29
강동구,7.04,9690,54,272,20,7477,1867,259,359,353,369,417,501,497,511,537,571,576,690,634,501,2539,2186,21,2,0,1,0,0,14,105,32,0,27,1,7,0,2,0,4,1,1,0,0,0,3,28,53,0,3,12,2,0,6,26,0,1,0,1,11,30079,137662,215,128966,8481,1496299,537935,62169,24.58,13.69,55.7,"9,666","-7,484","-4,524","-6,265","-16,559","-14,539","-5,539","-11,768",1291056,5292421,4360,393799,26546,7647,0,2146272,125731,29443,0,14795,0,29588,446160,55673,640027,11
강북구,7.14,1562,301,160,0,72,1029,192,339,289,263,306,338,359,387,400,406,436,502,469,362,2154,1922,27,6,0,1,0,0,2,50,8,1,41,1,5,0,9,0,1,0,0,0,0,0,0,17,30,0,3,15,4,3,0,7,0,1,0,0,3,18654,75760,280,70638,4842,914684,392162,51287,23.61,9.39,39.77,"3,983",-893,"-4,175","-3,950","-3,839","-3,737","-3,074","-4,766",1605057,10065272,0,521877,18909,9765,3181,2477211,1236430,4776817,155993,97394,44896,402,112810,25785,63937,3
강서구,6.86,4679,89,213,55,1894,2428,270,332,247,227,233,283,262,257,274,295,319,384,369,285,3477,2864,38,4,0,3,1,1,23,160,129,0,13,1,9,1,3,4,5,2,2,0,1,0,1,32,75,1,6,14,2,5,7,64,0,3,1,2,21,33273,191072,293,176167,14612,2205573,779635,224767,41.42,18.03,43.53,982,"-2,365",-142,"13,488","8,196","3,292","8,266","-2,809",262302,6260305,476543,946583,10163,4420,11045,2240206,296347,3776403,356285,88329,99371,262320,529312,85224,1669636,21
관악구,6.94,4126,733,270,47,1691,1385,448,684,576,471,464,511,530,532,567,610,653,796,797,618,3028,2728,39,7,0,1,0,0,4,96,21,0,9,0,6,0,15,0,2,0,1,0,0,0,1,22,50,0,0,18,3,1,3,1,0,0,0,0,4,26235,120789,255,114745,5789,1687190,633775,247399,29.57,11.91,40.27,"5,020","-5,363","-5,587","-4,098","-2,647","-2,958","-5,338","-1,164",2482436,6992780,91,1059376,17853,21237,0,2490293,3221,2524435,172645,69038,37065,289069,720967,42962,174264,4
광진구,7.09,2693,15,613,0,280,1785,178,291,233,211,234,320,349,324,378,436,477,598,638,502,3523,3302,24,2,0,0,0,0,12,46,8,1,22,1,8,0,6,0,6,1,0,0,0,0,5,15,35,0,3,7,0,2,5,11,0,0,0,1,11,24531,96092,267,90449,5376,1638532,452493,100824,17.05,11.57,67.81,"3,746","-1,990","-3,067","-3,399","-3,457","-2,271","-1,266","-2,415",733459,7799020,3910,1315708,7585,18108,0,2638941,423774,574241,139591,81422,4324,724,294762,29175,506463,11
구로구,7.57,7712,114,83,64,5992,1459,425,546,408,314,330,400,412,384,383,416,477,620,576,413,3138,2815,32,2,0,2,0,0,15,56,36,0,28,1,8,2,2,0,7,1,0,0,1,0,4,13,58,0,4,13,5,3,9,19,0,1,0,1,13,37445,138272,214,127055,11003,1874103,556564,56599,20.11,14.19,70.53,"8,942",142,"-3,571","5,103","-1,679","-4,793","-8,466","-4,054",2765578,6933165,4235,648734,90289,18993,7681,2729513,415061,908518,170716,175081,73119,3958,988890,70780,1212742,13
금천구,7.41,3288,72,236,70,1090,1820,193,628,374,247,284,434,394,268,244,257,425,720,425,291,300,130,22,7,0,0,0,0,6,47,4,0,6,1,6,1,4,0,3,1,0,0,1,0,1,12,28,0,3,6,1,2,3,5,0,0,0,0,4,30080,82684,121,74691,7872,1617044,287356,25402,13.01,10.55,81.15,"3,634","-1,955","-3,070",-662,-542,"-4,287",-21,"-1,287",8131216,10245089,0,1623351,11352,27278,1661,2730816,141756,539366,33528,153496,1434,6103,508307,27016,446527,4
노원구,7.11,636,34,162,43,65,332,190,237,216,222,243,284,287,305,322,364,389,385,355,266,2412,1952,20,9,1,2,0,0,9,131,72,1,43,3,3,1,4,2,10,3,0,0,0,0,3,12,99,1,4,16,2,1,2,2,0,1,0,3,18,25827,154645,249,144649,9747,1504212,669594,163854,35.42,13.23,37.33,"-1,967","-6,204","-6,698","-4,611","-7,679","-6,590","-12,220","-11,209",12785361,6607764,4290,552284,25471,18082,192,1996879,0,332303,65,87580,2092,22944,726024,138654,744416,18
도봉구,6.51,1731,89,173,0,447,1022,180,274,219,191,193,230,234,233,236,258,279,290,284,225,2173,1939,30,4,0,1,0,0,3,52,11,0,28,3,5,0,0,0,3,0,0,0,0,0,2,26,43,0,6,8,2,0,0,5,0,2,0,0,7,18455,95851,232,87888,7731,890602,416983,51018,20.7,12.21,58.99,813,"-3,270","-3,495","-8,056","-2,844","-3,201","-3,915","-4,348",9645649,6158181,29116,697636,90997,19808,5252,2071679,178088,475072,15288,178461,21,403,505554,64143,150747,7
동대문구,7.08,4974,173,202,236,2678,1685,130,225,188,198,230,269,288,284,289,322,293,290,238,175,2800,2483,32,2,0,1,0,0,12,84,39,0,36,0,6,0,1,0,1,0,1,0,0,0,0,25,38,3,6,9,1,7,2,8,0,2,0,1,11,32994,96607,264,90407,5936,1424697,479096,127492,14.2,14.1,99.29,"7,261","-2,886",204,"-2,439",-409,"-3,570","-3,484","-1,668",15474210,9259543,3088,2494090,25411,25539,3103,2801217,641786,1113232,126642,108951,39268,92668,729009,47630,606200,11
동작구,7.01,6893,439,208,82,4873,1291,338,543,436,476,552,669,744,650,659,681,761,924,751,576,698,433,13,0,0,1,0,0,10,73,19,0,35,1,5,0,9,0,2,0,1,0,0,0,0,29,43,0,4,11,1,1,5,1,0,0,0,1,17,19609,102067,266,99029,2772,1267620,491338,126423,16.35,15.65,95.73,"5,417",111,"7,119",-230,"-5,706","-1,366","-3,558","-2,778",13483205,9668965,2568,638406,66726,22213,0,2890308,163455,497612,737,280168,2792,35946,538367,53226,694226,17
마포구,6.54,4175,118,206,0,2840,1011,135,251,190,188,215,304,304,276,291,321,366,441,382,274,3321,2933,20,2,1,0,0,0,13,103,88,0,16,0,8,0,5,1,3,1,1,0,0,0,1,33,39,0,6,19,2,7,4,14,0,1,0,0,22,36504,116915,273,109135,7507,2059666,547838,143558,23.87,12.69,53.14,"7,800","-5,165","-2,672","-2,990","10,504","-6,830","-5,990","-2,744",4669678,7175221,0,2192294,19364,10400,0,2163469,210619,435978,3061,72308,0,22799,422222,60337,2995280,22
