구,클러스터,역 개수,클러스터의 역 개수 평균,역 개수 평균보다 많다(1) 적다(0)
강남구,1,29,23.33333333,1
강동구,2,11,10.4,1
강북구,4,3,9.166666667,0
강서구,5,21,15.77777778,1
관악구,2,4,10.4,0
광진구,5,11,15.77777778,0
구로구,2,13,10.4,1
금천구,4,4,9.166666667,0
노원구,5,18,15.77777778,1
도봉구,4,7,9.166666667,0
동대문구,5,11,15.77777778,0
동작구,2,17,10.4,1
마포구,5,22,15.77777778,1
서대문구,2,7,10.4,0
서초구,1,19,23.33333333,0
성동구,5,19,15.77777778,1
성북구,4,9,9.166666667,0
송파구,1,22,23.33333333,0
양천구,5,6,15.77777778,0
영등포구,5,19,15.77777778,1
용산구,4,18,9.166666667,1
은평구,5,15,15.77777778,0
종로구,3,15,19,0
중구,3,23,19,1
중랑구,4,14,9.166666667,1
